Designator,Mid X,Mid Y,Layer,Rotation
C1,151.794600,-50.495600,top,0
C2,99.295200,-62.009600,top,0
C3,99.311200,-65.184600,top,180
C4,146.302600,-70.619200,top,180
C5,100.531400,-113.450000,top,-90
C6,105.535200,-56.155600,top,90
C7,146.340100,-73.667200,top,0
C8,146.340100,-76.562800,top,0
C9,103.173000,-113.453900,top,-90
C10,136.096800,-118.675900,top,-90
C11,134.764600,-83.155800,top,90
C12,132.350600,-83.159800,top,-90
C13,143.694600,-83.185800,top,90
C14,141.474600,-83.175800,top,90
C15,122.815800,-49.439500,top,-90
C16,177.251700,-106.835600,top,180
C17,112.528600,-80.241800,top,90
C18,129.546600,-106.864900,top,90
CARD1,135.890000,-128.475800,top,0
D1,97.999800,-113.920400,top,90
D2,99.219000,-75.974600,top,-90
D3,117.888000,-74.884200,top,-90
H1,143.592800,-106.099000,top,90
H2,135.972800,-106.099000,top,90
H3,118.033800,-133.835800,top,0
H4,153.670000,-133.835800,top,0
H5,106.603800,-133.835800,top,0
H6,180.898800,-49.504600,top,90
J1,175.671600,-115.360300,top,180
J2,164.479601,-115.360300,top,180
LED1,120.739600,-66.905800,top,-90
L_B-B1,138.538200,-77.672285,top,180
Q1,111.735800,-89.683350,top,-90
Q2,112.079200,-95.643550,top,0
Q3,106.432600,-60.150400,top,90
Q4,112.055600,-63.935000,top,180
Q5,114.398800,-75.583400,top,0
Q6,146.142200,-95.100800,top,0
Q7,139.802300,-96.361200,top,90
Q8,175.012600,-102.593800,top,90
Q9,179.904600,-96.685000,top,90
Q10,123.756200,-103.803400,top,90
Q11,124.923800,-96.564600,top,90
R1,102.740400,-120.080500,top,180
R2,114.713200,-44.431800,top,90
R3,105.814600,-113.419100,top,90
R4,108.456200,-113.437900,top,-90
R5,113.790200,-113.437900,top,90
R6,111.097800,-113.437900,top,-90
R7,116.431800,-113.437900,top,90
R8,115.563900,-95.729150,top,90
R9,118.053100,-95.745150,top,90
R10,119.554600,-62.840800,top,90
R11,122.804600,-62.840800,top,-90
R12,121.164600,-62.840800,top,-90
R13,103.930200,-65.410600,top,-90
R14,114.560600,-54.859800,top,-90
R15,119.690600,-49.339800,top,90
R16,112.050600,-50.749800,top,-90
R17,145.894600,-83.175800,top,90
R18,138.230400,-119.344000,top,90
R19,133.760000,-119.242400,top,90
R20,131.524800,-120.145200,top,90
R21,142.853200,-117.210400,top,90
R22,140.770400,-117.362800,top,90
R23,128.807000,-119.764200,top,90
R24,150.429700,-96.066000,top,0
R25,139.761700,-92.560800,top,180
R26,180.788600,-92.195800,top,90
R27,139.003900,-99.977600,top,0
R28,176.951500,-110.010600,top,180
R29,175.012600,-99.291800,top,180
R30,126.930400,-106.573100,top,90
R31,129.165600,-95.583400,top,0
R32,123.882400,-99.926800,top,180
SW1,151.644600,-57.435800,top,90
SW2,99.404600,-57.495800,top,90
SW3,103.874600,-75.705800,top,90
TP2,128.632200,-70.793000,top,180
TP3,114.375000,-120.362000,top,-90
U1,106.407200,-101.594350,top,90
U2,101.734600,-90.225800,top,90
U3,114.027200,-102.003850,top,0
U4,170.028200,-78.189300,top,-90
U5,138.524600,-84.055800,top,-90
U6,135.684600,-53.485800,top,0
U7,101.689600,-101.975800,top,-90
